Orbit Number,Frame,Disk Misalignment,Ecc Inner,Ecc Outer,Angle Inner,Angle Outer
760.0,0,4.2596,0.1056,0.0248,1.7861853071795863,3.8097853071795864
770.0,0,4.2459,0.1058,0.0245,1.7942853071795861,3.8315853071795862
780.0,0,4.2446,0.1058,0.0244,1.8017853071795864,3.840385307179586
790.0,0,4.2477,0.1058,0.0241,1.8089853071795865,3.8444853071795864
800.0,0,4.2506,0.1058,0.0239,1.814885307179586,3.847485307179586
810.0,0,4.2564,0.1057,0.0236,1.822185307179586,3.848985307179586
820.0,0,4.2624,0.1059,0.0234,1.8281853071795862,3.848985307179586
830.0,0,4.2647,0.1058,0.0231,1.8353853071795863,3.853885307179586
840.0,0,4.2742,0.1059,0.0229,1.8420853071795866,3.851085307179586
850.0,0,4.267,0.1059,0.0226,1.8469853071795859,3.8631853071795863
860.0,0,4.2722,0.1058,0.0223,1.852685307179586,3.863685307179586
870.0,0,4.2655,0.1057,0.0221,1.8578853071795862,3.8755853071795863
880.0,0,4.2613,0.1053,0.0217,1.8626853071795866,3.884585307179586
890.0,0,4.2564,0.1051,0.0213,1.868685307179586,3.895485307179586
900.0,0,4.2453,0.1051,0.021,1.8721853071795866,3.9100853071795862
910.0,0,4.2346,0.1051,0.0207,1.8763853071795866,3.924985307179586
920.0,0,4.2192,0.1051,0.0204,1.8790853071795866,3.943085307179586
930.0,0,4.2026,0.105,0.0201,1.8828853071795866,3.963485307179586
940.0,0,4.19,0.1049,0.0198,1.8863853071795864,3.9795853071795864
950.0,0,4.1789,0.1049,0.0195,1.888485307179586,3.9927853071795862
960.0,0,4.1674,0.105,0.0192,1.8927853071795866,4.008585307179587
970.0,0,4.1526,0.1052,0.0189,1.896085307179586,4.026685307179586
980.0,0,4.1438,0.1054,0.0185,1.901385307179586,4.040785307179586
990.0,0,4.1383,0.1053,0.0183,1.9023853071795864,4.047285307179586
1000.0,0,4.1414,0.1052,0.0181,1.9070853071795861,4.048885307179586
1010.0,0,4.1447,0.1052,0.0177,1.9077853071795863,4.046285307179586
1020.0,0,4.1523,0.1053,0.0175,1.9089853071795861,4.039885307179587
1030.0,0,4.1634,0.1052,0.0172,1.913585307179586,4.033385307179586
1040.0,0,4.1726,0.1052,0.017,1.914785307179586,4.025385307179587
1050.0,0,4.0948,0.1051,0.0167,1.9197853071795858,4.108185307179586
1060.0,0,4.0395,0.105,0.0164,1.9206853071795864,4.164385307179586
1070.0,0,3.7807,0.105,0.0162,1.9214853071795863,4.423985307179587
1080.0,0,3.5278,0.1051,0.0159,1.9236853071795865,4.679085307179586
1090.0,0,3.1264,0.105,0.0156,1.927385307179586,5.084185307179586
1100.0,0,2.7265,0.1048,0.0154,1.9310853071795862,5.487785307179586
1110.0,0,2.5885,0.1045,0.0152,1.9333853071795861,5.628085307179586
1120.0,0,2.5508,0.1043,0.015,1.9346853071795866,5.667085307179586
1130.0,0,2.4252,0.1042,0.0147,1.933085307179586,5.7910853071795865
1140.0,0,2.4,0.1041,0.0145,1.9327853071795866,5.815985307179586
1150.0,0,2.34,0.1038,0.0144,1.9315853071795859,5.874785307179586
1160.0,0,2.2595,0.1038,0.0142,1.9342853071795858,5.9579853071795865
1170.0,0,2.1304,0.1038,0.0141,1.9352853071795861,6.088085307179586
1180.0,0,2.0325,0.1038,0.014,1.9343853071795865,6.185085307179587
1190.0,0,1.9875,0.1039,0.0139,1.933085307179586,6.228785307179586
1200.0,0,1.9728,0.104,0.0138,1.9357853071795859,6.246185307179586
1210.0,0,1.9465,0.1039,0.0137,1.931885307179586,6.2685853071795865
1220.0,0,1.924,0.1039,0.0137,1.934185307179586,0.0102
1230.0,0,1.9054,0.1039,0.0136,1.9319853071795858,0.0266
1240.0,0,1.8826,0.1039,0.0136,1.9256853071795863,0.0431
1250.0,0,1.8564,0.104,0.0136,1.9211853071795861,0.0648
1260.0,0,1.8455,0.1039,0.0136,1.924285307179586,0.0788
1270.0,0,1.8343,0.104,0.0137,1.922385307179586,0.0881
1280.0,0,1.8025,0.1043,0.0137,1.921585307179586,0.1191
